Date of Race,Country,Track,Going,Type,Distance,Class,Time,Stall,Horse,Official Rating,Age,Pace,Weight,Jockey,Trainer,Headgear,SP Fav,Industry SP,Betfair SP,IP Min,IP Max,Pre Min,Pre Max,Forecasted Odds,Place,Winning Distance,Runners,SP Win Return,E/W Return,Betfair Win Return,Tick reduction,Tick inflation,% BSP reduction,% BSP inflation,Betfair Lay Return,Runs last 18 months,Wins Last 5 races,Avg % SP Drop Last 5 races,Avg % SP Drop last 18 mths,RBD Rating,RBD Rank,Total Prev Races,Days Since Last time out,Course Wins,Distance Wins,Class Wins,Going Wins,Last time out Position,Course Winner,Distance Winner,Up in Trip,Betfair Place SP,Placed in Betfair Market,Place Return,Place Lay Return,Betfair Rank
2025-07-23,GB,CATTERICK,SFT,Maiden,7f,5,14:30:00,2.0,Tailgunner Joe,0,2,2,9-7,Kyle Strydom,Dylan Cunha,,1,2.75,,,,,,2.75, , ,11,,,0,-,-,0,,0,1,0,36.0,36.0,105,1,1,32,0,0,0,0,6,NO,NO,NO,, ,0,0,
2025-07-23,GB,CATTERICK,SFT,Maiden,7f,5,14:30:00,7.0,Ingleby Emma,0,2,2,9-2,Harrison Shaw,Adrian Nicholls,,10,67,,,,,,67.0, , ,11,,,0,-,-,0,,0,1,0,15.3,15.3,51,6,1,55,0,0,0,0,12,NO,NO,YES,, ,0,0,
2025-07-23,GB,CATTERICK,SFT,Maiden,7f,5,14:30:00,5.0,Tekitoff,0,2,5,9-5,Cam Hardie,Danny Brooke,,11,101,,,,,,101.0, , ,11,,,0,-,-,0,,0,1,0,-39.1,-39.1,7,8,1,37,0,0,0,0,10,NO,NO,YES,, ,0,0,
2025-07-23,GB,CATTERICK,SFT,Maiden,7f,5,14:30:00,9.0,Court Of Stars,0,2,5,9-2,Sam James,Ollie Sangster,,2,4,,,,,,4.0, , ,11,,,0,-,-,0,,0,2,0,36.9,36.9,104,2,2,15,0,0,0,0,2,NO,NO,NO,, ,0,0,
2025-07-23,GB,CATTERICK,SFT,Maiden,7f,5,14:30:00,10.0,Princess Maitha,0,2,0,9-2,Joe Fanning,Charlie Johnston,,3,6,,,,,,6.0, , ,11,,,0,-,-,0,,0,0,0,0.0,0.0,10,7,0,0,0,0,0,0,0,NO,NO,,, ,0,0,
2025-07-23,GB,CATTERICK,SFT,Maiden,7f,5,14:30:00,1.0,Lyrical Song,0,2,5,9-7,David Allan,Tim Easterby,,4,8,,,,,,8.0, , ,11,,,0,-,-,0,,0,2,0,7.75,7.75,87,3,2,39,0,0,0,0,6,NO,NO,YES,, ,0,0,
2025-07-23,GB,CATTERICK,SFT,Maiden,7f,5,14:30:00,3.0,Boy Named Sioux,0,2,3,9-7,Oisin Orr,Richard Fahey,,5,9,,,,,,9.0, , ,11,,,0,-,-,0,,0,2,0,18.3,18.3,83,4,2,25,0,0,0,0,3,NO,NO,YES,, ,0,0,
2025-07-23,GB,CATTERICK,SFT,Maiden,7f,5,14:30:00,11.0,Madame Koko,0,2,0,9-0,Jason Hart,John & Sean Quinn,,6,11,,,,,,11.0, , ,11,,,0,-,-,0,,0,0,0,0.0,0.0,7,8,0,0,0,0,0,0,0,NO,NO,,, ,0,0,
2025-07-23,GB,CATTERICK,SFT,Maiden,7f,5,14:30:00,6.0,Secret Testimony,0,2,0,9-7,Zak Wheatley,Declan Carroll,,7,26,,,,,,26.0, , ,11,,,0,-,-,0,,0,0,0,0.0,0.0,7,8,0,0,0,0,0,0,0,NO,NO,,, ,0,0,
2025-07-23,GB,CATTERICK,SFT,Maiden,7f,5,14:30:00,4.0,Oso Great,0,2,5,9-7,Ben Robinson,David O´Meara,,7,26,,,,,,26.0, , ,11,,,0,-,-,0,,0,1,0,41.2,41.2,69,5,1,16,0,0,0,0,8,NO,NO,NO,, ,0,0,
